NIC,gender,age,hypertension,heart_disease,bmi,HbA1c_level,blood_glucose_level,diabetes
877856273V,1,39.0,0,0,27.32,4.0,140,0
887391816V,1,27.0,0,0,22.49,4.5,85,0
922949576V,0,76.0,0,0,25.68,6.2,200,0
198860887461,1,70.0,0,0,27.17,8.8,155,1
751477189V,0,67.0,0,0,27.32,3.5,155,0
722503942V,0,41.0,0,0,27.35,6.5,126,0
200234872723,1,25.0,0,0,22.01,6.2,159,0
742704891V,1,60.0,0,0,48.35,7.5,145,1
876370336V,1,32.0,0,0,22.16,5.7,159,0
726375300V,0,66.0,0,0,25.4,6.1,155,0
198637537176,1,42.0,0,0,22.77,5.0,90,0
198015133333,0,14.0,0,0,30.29,6.5,200,0
794898202V,1,65.0,0,0,28.82,5.8,220,1
200052859920,0,34.0,0,0,22.07,4.8,126,0
922517621V,1,35.0,0,0,27.32,4.0,80,0
198285226494,0,11.0,0,0,27.32,5.7,160,0
936040496V,0,27.0,0,0,22.06,5.0,140,0
860856941V,1,5.0,0,0,28.82,6.2,160,0
752650761V,0,10.0,0,0,22.42,6.5,100,0
725520282V,0,68.0,0,0,27.32,6.1,90,0
198584851969,1,62.0,0,0,27.32,6.6,85,0
804437123V,1,69.0,0,0,25.64,6.0,158,0
926536316V,0,39.0,0,0,26.86,6.5,155,0
961595364V,1,68.0,0,0,29.13,7.5,300,1
198618076696,0,60.0,0,0,32.0,6.5,200,0
750117487V,0,29.0,0,0,40.18,5.7,140,0
751645919V,0,49.0,0,0,26.88,5.0,130,0
200294936610,0,67.0,1,0,31.95,4.0,200,0
857881929V,0,39.0,0,0,37.55,6.2,145,0
199622096564,1,64.0,0,0,26.17,6.8,260,1
915666602V,0,19.0,0,0,40.75,4.8,100,0
733865324V,1,69.0,0,1,30.69,5.8,100,0
848969830V,0,58.0,1,0,31.2,6.6,155,0
866329894V,0,54.0,0,0,27.32,6.0,90,0
200294620777,1,12.0,0,0,27.32,6.2,126,0
198092617165,1,54.0,0,0,23.36,3.5,160,0
200553401843,0,18.0,0,0,27.32,3.5,85,0
199006394320,0,80.0,0,0,21.96,6.5,158,0
198487695613,0,80.0,0,0,27.32,4.0,100,0
200532992360,1,1.16,0,0,27.32,6.5,80,0
198058204604,0,43.0,0,0,28.85,6.0,158,0
198367239749,0,70.0,1,0,36.55,4.0,160,0
761603042V,0,4.0,0,0,15.3,4.5,126,0
200219403247,0,60.0,0,0,43.0,3.5,130,0
198638763969,0,47.0,0,0,46.85,6.2,90,0
199403798275,1,30.0,0,0,27.32,6.5,160,0
198045554283,0,66.0,0,0,32.3,7.0,140,1
200293117509,1,52.0,0,1,27.32,6.1,200,0
199271410247,0,43.0,0,0,22.61,5.0,155,0
198163301033,0,80.0,0,0,27.32,6.5,80,0
766537736V,0,36.0,0,0,21.82,4.0,100,0
707211898V,1,8.0,0,0,27.32,6.2,130,0
199047382236,0,3.0,0,0,13.86,6.0,90,0
830222957V,0,37.0,0,0,42.43,6.5,140,0
700796312V,0,76.0,0,0,28.17,4.0,140,0
198757371473,1,57.0,0,0,41.48,6.0,130,1
926317356V,1,50.0,0,0,27.32,6.6,160,0
954668378V,0,80.0,0,0,27.32,5.0,100,0
920749098V,1,2.0,0,0,16.7,4.5,126,0
852376887V,1,7.0,0,0,14.95,6.2,100,0
198154918634,1,27.0,0,0,27.32,5.8,145,0
198954286273,0,45.0,0,0,32.7,6.5,80,0
996767461V,0,42.0,0,0,36.62,5.7,80,0
198611779048,0,54.0,0,0,27.32,5.8,100,0
198606960330,1,80.0,0,0,22.94,6.6,145,0
199017251845,0,8.0,0,0,15.83,6.5,85,0
200552216946,1,43.0,0,0,32.92,6.1,145,0
743307743V,1,50.0,0,0,27.57,8.2,280,1
198069611774,1,59.0,1,0,31.38,4.5,160,0
825739288V,1,61.0,0,0,36.55,6.5,200,1
726850033V,0,55.0,0,0,22.14,5.8,158,0
199348241118,0,22.0,0,0,27.32,5.0,158,0
953735925V,0,15.0,0,0,19.93,6.6,200,0
718999358V,1,61.0,0,0,27.32,5.8,90,0
995407922V,0,40.0,0,0,21.26,5.7,200,0
199712792968,0,34.0,0,0,27.32,6.6,80,0
199484251177,0,24.0,0,0,27.32,4.5,159,0
198341891433,1,10.0,0,0,14.58,5.7,126,0
198335934396,0,4.0,0,0,27.32,4.8,126,0
198039612899,0,38.0,0,0,20.2,5.8,80,0
200090611701,0,39.0,0,0,33.37,6.2,90,0
199535294578,0,43.0,0,0,27.32,3.5,126,0
731034517V,0,53.0,0,0,27.32,4.5,100,0
199972780757,0,70.0,0,1,23.0,4.5,145,0
750355125V,0,60.0,0,0,22.76,6.2,130,0
200310075115,1,55.0,0,1,33.44,4.5,80,0
198046846535,0,67.0,0,0,23.96,5.8,200,0
798150691V,0,28.0,0,0,26.25,6.6,200,0
861925991V,1,52.0,0,0,34.15,5.0,80,0
930672750V,1,59.0,0,0,27.41,6.0,140,0
199426313096,0,35.0,0,0,19.87,5.0,130,0
752987526V,1,11.0,0,0,18.54,6.2,160,0
199309412458,0,35.0,0,0,27.8,6.5,145,0
760993011V,1,68.0,0,0,26.44,6.2,80,0
886756513V,0,25.0,0,0,27.32,5.0,100,0
200471336017,0,65.0,0,0,27.32,6.2,85,0
198634418240,0,61.0,0,0,27.32,6.2,90,0
198546309747,0,20.0,0,0,27.32,3.5,159,0
199142400589,1,31.0,0,0,25.45,6.6,200,0
200026566829,0,80.0,0,0,27.32,6.2,140,0
200575142369,1,49.0,0,0,31.12,4.8,159,0
200415063557,0,0.56,0,0,16.27,6.0,158,0
821882573V,0,61.0,0,0,35.41,5.0,126,0
743367746V,1,4.0,0,0,18.09,6.2,160,0
200383826008,0,13.0,0,0,27.32,6.5,200,0
199120710637,1,51.0,0,1,27.32,3.5,160,0
199660135675,1,18.0,0,0,20.45,6.2,145,0
200353053624,1,56.0,0,0,22.79,4.5,145,0
730128205V,1,5.0,0,0,17.98,5.0,90,0
745910847V,0,77.0,0,0,27.32,5.8,80,0
199289624491,0,54.0,1,0,41.71,6.8,300,1
200534786944,1,16.0,0,0,23.73,5.8,130,0
200309696092,1,39.0,0,0,27.32,5.8,80,0
746713321V,0,32.0,0,0,23.33,6.0,158,0
746394012V,1,80.0,0,0,27.32,4.0,130,0
773975820V,0,50.0,0,0,21.21,5.7,90,0
199318240158,1,71.0,0,0,39.03,6.2,159,1
198491272151,1,29.0,0,0,33.08,3.5,160,0
198856277241,1,60.0,0,1,29.05,5.8,145,0
198007124285,0,4.0,0,0,16.86,3.5,140,0
898456288V,1,13.0,0,0,27.32,4.8,90,0
200285048779,0,31.0,0,0,27.37,3.5,145,0
820328698V,1,16.0,1,0,26.35,5.8,159,0
199483559807,1,20.0,0,0,20.3,6.6,158,0
200348503707,0,8.0,0,0,16.14,6.6,200,0
951708269V,0,42.0,0,0,27.32,6.0,158,0
198672037625,0,33.0,0,0,24.71,6.1,158,0
739013692V,1,43.0,0,0,27.32,6.5,90,0
897451453V,1,0.08,0,0,30.64,6.6,130,0
199446536171,1,40.0,0,0,40.43,6.5,130,0
786173222V,0,37.0,0,0,27.32,3.5,160,0
853403808V,0,40.0,0,0,21.1,5.7,155,0
199380431508,0,21.0,0,0,30.05,6.0,160,0
198354509739,1,54.0,0,0,36.67,4.8,140,0
728589723V,0,45.0,0,0,36.75,6.5,90,0
735534968V,1,35.0,0,0,27.32,6.0,100,0
200280980328,1,58.0,0,0,31.65,4.5,160,0
717334622V,0,57.0,0,0,27.32,6.0,126,0
199261335257,0,21.0,0,0,24.42,6.6,200,0
985879315V,0,68.0,0,1,30.81,9.0,240,1
199189260032,0,0.4,0,0,13.66,5.8,158,0
198534366178,0,32.0,0,0,47.03,3.5,158,0
754748972V,1,16.0,0,0,18.11,5.8,80,0
200509563825,1,80.0,0,0,27.32,6.6,159,0
200432771919,1,64.0,0,0,27.32,6.6,145,1
868138437V,0,57.0,0,0,29.52,5.0,159,0
199701944428,1,3.0,0,0,27.32,6.6,90,0
198992613771,0,20.0,0,0,25.87,5.7,155,0
941201620V,0,33.0,0,0,25.78,6.1,159,0
818108059V,1,44.0,0,0,29.8,6.2,130,0
199644218548,1,16.0,0,0,26.72,6.1,85,0
833523821V,0,10.0,0,0,16.94,6.5,200,0
936113904V,1,34.0,0,0,27.32,6.0,85,0
199106057144,0,39.0,0,0,46.0,4.0,159,0
200160555264,0,36.0,0,0,27.32,4.0,130,0
994095621V,1,42.0,0,0,26.03,4.5,100,0
750504111V,1,33.0,0,0,26.53,6.2,200,0
872160004V,1,8.0,0,0,33.8,6.2,100,0
823447964V,1,34.0,0,0,22.78,6.1,145,0
811714545V,1,7.0,0,0,95.69,6.1,130,0
199266951666,1,40.0,0,0,25.26,3.5,85,0
960354797V,0,64.0,0,0,24.86,6.1,160,0
198101000256,1,43.0,1,0,27.32,4.0,126,0
198104358364,1,80.0,0,0,20.1,5.0,200,0
198086815178,1,12.0,0,0,16.16,5.8,140,0
199740229478,0,55.0,1,0,27.27,3.5,100,0
199285232395,0,80.0,1,0,15.68,6.5,85,0
745678191V,1,68.0,0,0,27.83,4.5,145,0
916477544V,1,0.24,0,0,16.89,5.7,126,0
925950915V,0,38.0,1,0,47.62,3.5,158,0
788151066V,1,53.0,0,0,27.36,6.5,155,0
781037001V,0,52.0,0,0,27.52,5.0,90,0
839012801V,0,31.0,0,0,25.29,6.0,160,0
199992326697,1,22.0,0,0,23.67,6.0,85,0
200031056461,0,25.0,0,0,17.66,6.2,160,0
935613428V,1,46.0,0,0,27.32,5.7,100,0
199069347752,1,69.0,0,0,27.32,6.1,158,0
200131210302,0,64.0,1,0,50.03,6.6,220,1
198466720780,1,8.0,0,0,19.08,6.5,126,0
198397147576,1,55.0,0,0,39.56,6.1,300,1
751059648V,0,35.0,0,0,27.32,3.5,155,0
200066622229,0,63.0,0,0,24.75,6.2,140,0
838612013V,1,37.0,0,0,27.32,4.8,159,0
742070745V,1,26.0,0,0,25.2,6.1,159,0
815154386V,1,74.0,0,0,27.47,8.8,130,1
200468496413,1,38.0,0,0,26.32,6.1,200,0
198362251517,0,60.0,0,0,27.32,3.5,126,0
855755980V,1,61.0,1,0,33.62,7.5,145,1
760885681V,1,63.0,0,0,27.32,5.7,200,0
199073777047,1,73.0,0,0,27.32,8.8,300,1
198852323390,0,18.0,0,0,32.21,6.6,100,0
740823283V,0,45.0,0,0,27.32,3.5,159,0
200350192787,0,50.0,0,0,20.14,6.1,159,0
702801395V,1,11.0,0,0,27.32,6.2,160,0
198314463581,0,25.0,0,0,25.69,5.0,85,0
199601531757,1,32.0,0,0,35.57,6.0,160,0
786115376V,0,54.0,0,0,48.3,6.6,220,1
199377883078,0,80.0,0,0,19.33,6.5,130,0
791546745V,1,80.0,1,0,21.34,6.2,158,0
863854829V,0,3.0,0,0,17.91,6.0,80,0
786345876V,0,58.0,1,0,40.31,6.5,159,0
788689255V,0,42.0,0,0,24.12,6.1,130,0
198100747557,0,54.0,0,0,27.32,5.7,100,0
839428463V,0,40.0,0,0,26.43,4.0,155,0
200009705868,0,32.0,0,0,27.32,5.7,145,0
919335308V,1,47.0,0,0,28.54,6.1,158,0
199800996799,0,37.0,0,0,27.32,5.0,140,0
200147777354,1,10.0,0,0,35.17,5.0,80,0
199184691362,1,80.0,0,0,17.35,3.5,130,0
959829858V,1,53.0,0,0,26.92,5.7,159,0
200379411679,0,46.0,0,0,31.17,4.0,158,0
990717090V,0,29.0,0,0,24.89,3.5,158,0
200081748041,0,65.0,1,0,34.68,6.0,130,0
200156333591,0,1.32,0,0,27.32,3.5,130,0
895309868V,0,44.0,0,0,27.32,3.5,159,0
726849506V,0,60.0,0,0,27.32,4.8,145,0
198540445367,0,80.0,1,0,27.34,6.2,90,0
838905914V,1,3.0,0,0,27.32,5.0,85,0
199146720228,1,56.0,1,0,26.17,6.0,155,0
199045123530,0,67.0,0,0,28.77,7.0,126,1
797820702V,1,72.0,0,0,30.7,5.0,159,0
763837495V,1,8.0,0,0,27.32,6.5,160,0
802527721V,1,29.0,0,0,27.32,5.7,85,0
854338988V,0,32.0,0,0,29.89,3.5,145,0
198621890933,0,62.0,0,0,35.0,6.1,145,0
200315868417,0,70.0,0,0,19.66,6.6,200,0
717218125V,1,14.0,0,0,19.63,6.1,155,0
200378447114,1,80.0,0,1,25.18,4.8,159,0
803919313V,1,27.0,0,0,28.19,3.5,160,0
951351769V,0,64.0,0,0,24.94,5.0,158,0
942149715V,0,61.0,0,0,27.32,3.5,100,0
198195606195,1,63.0,0,1,27.22,6.8,200,1
198626142623,0,34.0,0,0,21.29,6.1,100,0
824282544V,1,78.0,0,0,25.7,6.5,90,0
746444123V,0,80.0,0,0,34.51,4.8,158,0
198159338354,0,43.0,0,0,40.62,6.1,200,0
199542714981,1,18.0,0,0,34.76,3.5,155,0
962964517V,1,40.0,0,0,27.32,4.8,80,0
974972246V,1,48.0,0,0,26.05,6.5,130,0
200014996799,0,28.0,0,0,27.32,3.5,140,0
200561318203,1,55.0,0,0,30.72,5.7,130,0
200004267911,1,6.0,0,0,19.38,5.8,130,0
200173626467,0,47.0,0,0,21.17,3.5,200,0
199553119818,0,74.0,0,0,27.32,6.2,145,1
198770526777,1,32.0,0,0,32.01,4.8,159,0
902625803V,0,25.0,0,0,22.22,6.1,200,0
908315498V,0,28.0,0,0,29.97,6.2,85,0
198771913914,0,60.0,0,1,27.32,4.0,85,0
976198968V,1,1.64,0,0,20.3,5.7,80,0
756696330V,0,53.0,0,0,27.32,4.8,158,0
198678679469,0,23.0,0,0,23.83,6.6,145,0
907881337V,0,75.0,0,0,27.32,4.8,160,0
199264582928,1,14.0,0,0,21.44,6.6,155,0
810673165V,1,21.0,0,0,23.42,6.6,130,0
835349172V,0,39.0,0,0,39.56,6.1,145,0
198633411033,0,76.0,0,0,23.82,6.6,155,0
199264613346,1,3.0,0,0,18.6,6.6,90,0
772283049V,0,24.0,0,0,24.99,4.5,145,0
864035671V,0,54.0,0,0,35.48,6.8,126,1
199847995398,0,19.0,0,0,27.32,6.5,145,0
200551898500,1,13.0,0,0,16.83,5.0,100,0
199857920629,0,43.0,0,0,27.32,4.0,155,0
901132087V,0,48.0,0,0,25.97,5.0,80,0
736015596V,0,1.4,0,0,19.53,5.8,80,0
720915920V,0,80.0,0,0,27.5,6.0,85,0
199908838654,0,29.0,0,0,27.32,6.1,100,0
718467290V,1,11.0,0,0,17.19,6.0,160,0
200255689869,0,33.0,0,0,43.93,5.0,100,0
894097347V,1,34.0,0,0,26.3,6.6,158,0
928246552V,1,43.0,0,0,27.32,5.0,155,0
200458524590,0,73.0,0,0,27.32,4.5,126,0
198315345584,1,66.0,0,0,21.96,5.7,90,0
198816980690,0,35.0,0,0,27.32,6.0,155,0
905446191V,0,58.0,0,0,35.15,5.0,100,0
828424997V,1,36.0,0,0,27.32,6.2,159,0
821822689V,0,52.0,0,0,44.29,4.8,80,0
198886646277,1,52.0,0,0,27.32,3.5,145,0
827288820V,1,80.0,1,0,34.14,6.6,155,0
199591284691,0,10.0,0,0,27.32,4.0,155,0
198057387455,1,47.0,0,0,29.86,6.0,200,0
199240200109,0,11.0,0,0,19.38,4.5,145,0
198046936432,0,77.0,0,0,24.2,5.0,100,0
860703065V,1,65.0,1,1,28.66,5.8,158,0
199730720477,0,68.0,1,0,26.57,4.0,85,0
198447722120,0,35.0,0,0,23.13,6.5,155,0
199017719448,0,48.0,0,0,33.64,5.8,140,0
199454042985,0,80.0,0,0,25.4,6.5,85,0
913254756V,1,72.0,0,1,25.65,4.5,100,0
818277286V,0,17.0,0,0,27.6,5.0,90,0
812349829V,0,56.0,0,0,26.15,6.0,145,0
835731071V,1,65.0,0,0,27.05,6.5,160,1
862966803V,0,43.0,0,0,27.05,4.0,159,0
198427458079,0,68.0,1,0,31.37,6.5,155,1
778685663V,1,6.0,0,0,27.32,6.5,80,0
198899771633,1,6.0,0,0,16.61,4.5,126,0
856409290V,0,72.0,0,0,26.29,6.6,200,0
962793320V,1,28.0,0,0,22.11,5.8,140,0
899781347V,0,39.0,0,0,27.32,4.5,155,0
744310800V,1,2.0,0,0,27.32,5.7,85,0
804663261V,1,59.0,0,0,31.62,6.1,200,1
822801193V,0,14.0,0,0,23.18,4.8,158,0
890297741V,0,33.0,0,0,27.32,4.5,130,0
198426036223,0,51.0,0,0,34.57,4.0,145,0
199070725993,1,77.0,0,0,32.8,5.0,126,0
878191374V,0,24.0,0,0,27.32,4.0,155,0
198858258984,0,8.0,0,0,14.71,3.5,100,0
200000220358,1,42.0,0,0,27.32,4.8,155,0
808801252V,1,13.0,0,0,21.64,6.5,90,0
200328326693,1,23.0,0,0,24.68,5.0,126,0
987233620V,0,30.0,0,0,24.71,3.5,160,0
199784634523,1,16.0,0,0,19.64,4.0,126,0
822479675V,1,53.0,1,0,29.53,6.0,90,0
888704019V,0,60.0,0,0,24.89,4.5,159,0
742765569V,0,16.0,0,0,30.38,6.5,160,0
200361881227,0,39.0,0,0,27.32,3.5,130,0
803969773V,1,24.0,0,0,27.32,6.1,158,0
802449184V,1,27.0,0,0,25.1,4.5,158,0
198552489641,0,42.0,0,0,27.32,4.0,155,0
776848237V,0,1.72,0,0,14.03,3.5,90,0
750076430V,1,43.0,0,0,28.67,4.5,159,0
788518754V,0,36.0,0,0,32.27,6.2,220,1
948658545V,1,62.0,0,0,36.46,5.7,158,0
200428944047,0,53.0,0,0,29.12,4.5,160,0
717867598V,0,31.0,0,0,33.12,5.8,145,0
808789449V,0,52.0,0,0,27.32,5.8,126,0
946597772V,1,64.0,0,0,37.47,9.0,130,1
802106044V,1,38.0,0,1,34.98,6.6,80,0
717082697V,0,28.0,0,0,21.48,6.0,90,0
990282442V,0,15.0,0,0,21.12,5.7,155,0
200330028022,0,33.0,0,0,23.26,6.2,130,0
199292541098,0,54.0,1,0,39.89,3.5,130,0
901479086V,1,26.0,0,0,27.32,6.2,80,0
740218094V,0,55.0,0,0,37.88,3.5,100,0
198554384625,0,52.0,0,0,39.03,5.0,200,0
198654981895,0,75.0,0,1,48.0,5.8,160,1
839569134V,0,46.0,0,0,21.63,4.0,200,0
200173485405,1,29.0,0,0,26.17,4.5,80,0
198965247825,1,3.0,0,0,18.1,5.0,140,0
200122092287,0,65.0,1,0,22.85,6.0,80,0
994148688V,1,13.0,0,0,18.72,5.8,145,0
857672394V,0,42.0,0,0,24.38,6.2,200,0
862742254V,1,5.0,0,0,27.32,6.5,90,0
751035181V,0,76.0,0,0,18.43,6.1,160,0
200005813466,1,26.0,0,0,27.32,4.5,145,0
994559568V,1,24.0,0,0,27.32,5.7,100,0
200325870209,1,28.0,0,0,27.32,5.8,145,0
836448999V,1,39.0,0,0,25.78,5.8,159,0
199883020056,1,41.0,0,0,27.32,6.2,80,0
200519487491,0,45.0,0,0,26.69,6.2,80,0
200240136380,0,54.0,0,0,28.46,4.5,130,0
199896030909,0,49.0,0,0,31.57,6.0,159,0
198950942289,0,30.0,0,0,27.32,5.0,200,0
199505014861,0,25.0,0,0,27.32,4.8,160,0
198566403586,0,49.0,0,0,42.88,6.5,155,0
804828054V,0,32.0,0,0,24.88,6.2,90,0
966285359V,0,2.0,0,0,17.3,6.2,130,0
200095726611,0,66.0,0,0,49.6,6.2,130,0
199152587706,1,74.0,0,0,31.27,4.8,90,0
199355476253,0,65.0,1,0,37.0,6.2,126,1
749474974V,0,61.0,0,0,37.83,6.0,155,0
198890845245,0,47.0,0,0,26.34,6.5,85,0
784568443V,0,66.0,0,1,27.32,3.5,90,0
199612209703,0,18.0,0,0,26.95,3.5,200,0
822955872V,1,64.0,0,0,41.15,6.0,140,0
968865848V,1,1.64,0,0,27.32,6.1,126,0
199858704269,0,79.0,0,0,25.55,5.7,140,0
750477498V,0,22.0,0,0,24.54,6.0,155,0
843003190V,0,30.0,0,0,33.12,4.8,126,0
907012969V,0,1.32,0,0,22.53,4.8,200,0
199160058873,0,54.0,0,0,27.32,3.5,130,0
805847997V,0,29.0,0,0,30.82,4.0,126,0
764431780V,0,40.0,0,0,23.44,4.0,85,0
745562237V,0,77.0,0,0,26.23,4.8,140,0
198145405559,1,18.0,0,0,27.32,4.0,140,0
955957875V,0,56.0,1,0,40.33,4.0,158,0
199221722905,0,70.0,0,0,27.22,3.5,200,0
198254949950,0,51.0,0,0,28.14,6.2,160,0
199662000366,1,22.0,0,0,27.32,6.1,145,0
199339981040,1,21.0,0,0,34.56,6.2,200,0
750389600V,0,40.0,0,0,27.32,5.8,130,0
846454404V,1,47.0,1,0,33.9,3.5,159,0
199554423426,0,28.0,0,0,32.5,5.0,130,0
766540180V,0,22.0,0,0,24.63,4.0,126,0
200205660517,0,51.0,0,0,24.78,6.0,130,0
200470869011,1,64.0,0,0,27.32,6.6,155,1
885862966V,1,57.0,0,0,42.06,6.1,159,1
200107459904,1,56.0,0,0,27.32,4.5,100,0
850859272V,1,3.0,0,0,14.21,6.6,145,0
791814624V,0,46.0,0,0,18.65,4.5,126,0
728134788V,0,80.0,1,1,27.32,4.8,90,0
199748310980,0,59.0,0,0,32.62,3.5,160,0
734286017V,1,43.0,0,0,21.3,6.2,158,0
198814285336,0,44.0,0,0,27.32,5.8,85,0
934606200V,0,30.0,0,0,27.32,6.6,130,0
844256656V,0,38.0,0,0,21.35,5.7,100,0
971391378V,1,56.0,0,0,27.32,5.7,160,0
762916147V,1,60.0,0,0,30.98,8.8,260,1
198605277132,1,39.0,0,0,22.46,6.6,300,1
786671046V,0,37.0,0,0,24.65,5.7,140,0
889251229V,1,11.0,0,0,27.32,5.7,130,0
198211207139,0,45.0,0,0,31.32,7.5,159,1
818561556V,0,37.0,0,0,27.18,6.6,100,0
777108898V,0,24.0,0,0,27.32,6.2,80,0
716091440V,1,49.0,0,0,36.68,3.5,160,0
854482247V,1,63.0,1,0,32.76,6.5,155,0
748134248V,1,42.0,0,0,33.01,5.0,160,0
199209452800,0,33.0,0,0,27.32,6.0,145,0
858300310V,0,33.0,0,0,22.68,6.1,126,0
720038814V,1,48.0,0,0,27.32,5.7,159,0
199040918771,1,32.0,0,0,27.32,6.2,85,0
968802000V,0,6.0,0,0,27.32,6.1,80,0
199394836208,0,21.0,0,0,18.9,4.0,160,0
769152932V,0,23.0,0,0,27.32,4.5,90,0
779184223V,1,30.0,0,0,30.22,3.5,200,0
198600153834,1,43.0,0,0,27.32,5.7,155,0
199207927966,1,2.0,0,0,19.36,6.0,126,0
200467847909,0,66.0,0,0,27.32,4.0,155,0
947513976V,1,73.0,0,0,27.32,6.6,140,0
709659222V,0,24.0,0,0,23.26,6.2,130,0
198680612566,1,80.0,0,0,25.52,5.7,130,0
839696115V,0,59.0,0,0,27.3,6.2,90,0
936241692V,0,43.0,0,0,26.07,6.2,130,0
861475905V,0,18.0,0,0,27.32,5.0,100,0
199147071878,1,80.0,0,0,27.32,6.6,159,0
198681388118,1,5.0,0,0,17.88,5.8,100,0
930872299V,0,11.0,0,0,28.89,5.0,85,0
